id,primary_type,community_area,year,latitude,longitude
21430,HOMICIDE,25,2014,41.898436079,-87.76973442
26495,HOMICIDE,51,2013,41.708875915,-87.56331434
21648,HOMICIDE,8,2014,41.906493685,-87.639966906
23027,HOMICIDE,49,2016,41.703478083,-87.626563168
23439,HOMICIDE,27,2017,41.871885682,-87.704241945
24054,HOMICIDE,71,2018,41.746835062,-87.655172836
24339,HOMICIDE,23,2018,41.896039237,-87.724882334
21214,HOMICIDE,66,2014,41.779056401,-87.697491099
24320,HOMICIDE,25,2018,41.91085503,-87.745895726
22772,HOMICIDE,29,2016,41.862461543,-87.7097088
20918,HOMICIDE,25,2013,41.897856457,-87.760740384
23930,HOMICIDE,68,2018,41.782641916,-87.654579337
21054,HOMICIDE,43,2013,41.7657767,-87.582439315
22520,HOMICIDE,22,2016,41.917452022,-87.700921373
23904,HOMICIDE,25,2018,41.884767539,-87.757673329
23419,HOMICIDE,25,2017,41.909933853,-87.767939666
22099,HOMICIDE,48,2015,41.729340475,-87.565806616
23249,HOMICIDE,69,2017,41.776018543,-87.615520426
21706,HOMICIDE,38,2014,41.809367027,-87.617712209
23785,HOMICIDE,19,2018,41.922001458,-87.776045651
23064,HOMICIDE,27,2017,41.871868444,-87.706610311
21526,HOMICIDE,30,2014,41.852469289,-87.699109998
22894,HOMICIDE,71,2016,41.740432213,-87.666833487
21025,HOMICIDE,53,2013,41.675299766,-87.621750607
24236,HOMICIDE,23,2018,41.898926722,-87.731756818
23275,HOMICIDE,48,2017,41.727368605,-87.574263165
22488,HOMICIDE,68,2016,41.769793473,-87.648164031
21436,HOMICIDE,66,2014,41.764507679,-87.694801338
23202,HOMICIDE,71,2017,41.756062009,-87.646954048
21548,HOMICIDE,67,2014,41.761988574,-87.673460993
22056,HOMICIDE,27,2015,41.875909279,-87.702836558
24122,HOMICIDE,66,2018,41.783852167,-87.687426581
22783,HOMICIDE,26,2016,41.880368223,-87.725658953
21831,HOMICIDE,66,2015,41.765888079,-87.689395594
21727,HOMICIDE,63,2015,41.788382525,-87.684421957
22580,HOMICIDE,63,2016,41.787612438,-87.687531843
22320,HOMICIDE,25,2016,41.90746894,-87.773420485
24078,HOMICIDE,27,2018,41.886445247,-87.704484736
24312,HOMICIDE,61,2018,41.803353604,-87.649123306
23906,HOMICIDE,53,2018,41.673338288,-87.632138209
22756,HOMICIDE,71,2016,41.754868733,-87.673266386
24210,HOMICIDE,69,2018,41.751305337,-87.603628907
21769,HOMICIDE,51,2015,41.703644635,-87.564453394
23010,HOMICIDE,29,2016,41.863851348,-87.72632567
24237,HOMICIDE,44,2018,41.746766617,-87.612379773
23919,HOMICIDE,41,2018,41.799275367,-87.582312425
24037,HOMICIDE,26,2018,41.87980954,-87.721738795
22227,HOMICIDE,61,2015,41.795211551,-87.662188272
22360,HOMICIDE,23,2016,41.902738782,-87.718346215
22545,HOMICIDE,68,2016,41.77548784,-87.630440089
23403,HOMICIDE,70,2017,41.749807265,-87.706413753
23184,HOMICIDE,31,2017,41.853906334,-87.681781611
22338,HOMICIDE,2,2015,42.00017561,-87.682642427
21587,HOMICIDE,38,2014,41.814712519,-87.623848547
21747,HOMICIDE,71,2014,41.739593426,-87.641919138
23459,HOMICIDE,42,2017,41.779630545,-87.61078722
23654,HOMICIDE,43,2017,41.771516934,-87.58525742
23835,HOMICIDE,49,2018,41.690091209,-87.61329487
23296,HOMICIDE,69,2017,41.768105576,-87.620179762
20985,HOMICIDE,1,2013,42.019371503,-87.671181992
24193,HOMICIDE,71,2018,41.7537726,-87.647762725
23483,HOMICIDE,49,2017,41.699800605,-87.629232617
23896,HOMICIDE,26,2018,41.8716728,-87.72173192
22842,HOMICIDE,29,2016,41.859737058,-87.72620306
20960,HOMICIDE,46,2013,41.7517514,-87.564715123
23815,HOMICIDE,25,2018,41.891768093,-87.755483944
23727,HOMICIDE,25,2017,41.902319997,-87.749033883
22377,HOMICIDE,27,2016,41.871773806,-87.714461153
