school_id,school_nm,school_lat,school_long
609812,"BROWN, W",41.8829974807,-87.6706456812
609813,BROWNELL,41.7716197534,-87.6217826166
609815,BOUCHET,41.7608470312,-87.5761115041
609817,BUDLONG,41.9757817705,-87.6965564098
609818,BURBANK,41.917597481,-87.7827363017
609819,BURKE,41.7967601156,-87.6161038586
609820,BURLEY,41.9379100361,-87.669852523
609821,BURNHAM,41.7144023586,-87.5670939683
609826,CASTELLANOS,41.8454504744,-87.7148903214
609827,BURNSIDE,41.7284532016,-87.6074346419
609828,BURR,41.9123853471,-87.6686611349
609829,BURROUGHS,41.8288685086,-87.6924199472
609830,BRUNSON,41.8976633374,-87.7655689423
609832,BYRNE,41.7950303819,-87.7915811453
609833,CALDWELL,41.7392267612,-87.5806923919
609834,LITTLE VILLAGE,41.8436989669,-87.717282271
609835,CAMERON,41.9037928008,-87.7178899133
609836,CANTY,41.9480078444,-87.829258957
609837,CARNEGIE,41.7833408827,-87.5907952822
609839,CARROLL,41.7425440638,-87.6960128149
609842,CARSON,41.7932727025,-87.6877628803
609844,CARTER,41.7898283978,-87.62241609
609845,"CARVER , G",41.6537295325,-87.5995172414
609848,ALDRIDGE,41.6573775273,-87.6064739047
609849,CASSELL,41.6873478587,-87.7031788944
609850,GREELEY,41.9527820754,-87.6509792479
609851,CHALMERS,41.8664626919,-87.6952597988
609852,CHAPPELL,41.9759217358,-87.683264377
609853,CHASE,41.9179714045,-87.6945855007
609854,CHOPIN,41.8966852493,-87.6889362887
609855,CHRISTOPHER,41.8016591765,-87.6855703357
609856,CLAY,41.6545581859,-87.5446501884
609857,CLEVELAND,41.9520695635,-87.7064426112
609859,CLINTON,41.9925420177,-87.6983231803
609861,CLISSOLD,41.6929985713,-87.680895958
609862,COLES,41.7414125297,-87.5660064096
609863,COLUMBUS,41.8995652981,-87.6819747753
609864,COOK,41.7452375452,-87.6597379534
609865,JORDAN,42.0170874952,-87.677725718
609866,COONLEY,41.9555538034,-87.6837285462
609867,COOPER,41.8560037541,-87.6672264762
609869,LANGFORD,41.7846813516,-87.6571325472
609870,CORKERY,41.8456030332,-87.7311561744
609871,VICK,41.6881633988,-87.6856760343
609872,PEREZ,41.8560561581,-87.6579809591
609873,CROWN,41.8526641706,-87.7124334576
609874,DIRKSEN,41.9737422184,-87.8410417412
609875,DARWIN,41.9232952788,-87.7054124005
609876,"DAVIS, N",41.8218241808,-87.7002013058
609879,DAWES,41.7450503159,-87.7173526315
609880,DECATUR,42.0092881523,-87.7045818032
609883,DENEEN,41.7624907521,-87.6233079419
609884,DEVER,41.9425523925,-87.8130947822
609885,DEWEY,41.795645104,-87.6426882415
609887,DIXON,41.7436699139,-87.6099422442
609888,DODGE,41.8892867399,-87.7050619659
609891,DOOLITTLE,41.831146614,-87.6129585273
609893,DORE,41.7809552267,-87.7875677718
609894,DRAKE,41.8440435794,-87.6285167495
609895,TURNER-DREW,41.725598329,-87.6301308542
609896,DRUMMOND,41.9159412366,-87.6744954437
609897,EARLE,41.7811977314,-87.6755465062
609898,EBERHART,41.7743930171,-87.7079518382
609899,EBINGER,42.004380508,-87.8111681485
609900,CURTIS,41.6853909614,-87.6216520739
609901,EDGEBROOK,41.9994135062,-87.7618598502
609902,METCALFE,41.6694433869,-87.6343421109
609903,EDWARDS,41.8055409108,-87.7258928453
609904,ELLINGTON,41.8855286526,-87.7666260795
609907,ERICSON,41.8757184103,-87.7157916032
609908,ESMOND,41.6894448847,-87.6691444195
609909,EVERETT,41.8315545763,-87.6813469883
609910,FALCONER,41.9357853912,-87.7492938896
609912,FARNSWORTH,41.9797896799,-87.7660348844
609917,FERNWOOD,41.7111830723,-87.6404502626
609918,FIELD,42.009663088800004,-87.6700221809
609919,FISKE,41.7851833429,-87.6085962381
609920,KANOON,41.8507709757,-87.705148774
609921,TELPOCHCALLI,41.8479234631,-87.6966300866
609922,BELMONT-CRAGIN,41.9204833935,-87.7582128207
609924,FORT DEARBORN,41.7296720886,-87.6555177862
609925,KELLMAN,41.8711794587,-87.700856061
609926,FRANKLIN,41.9066274259,-87.6355135813
609927,FOSTER PARK,41.7384260116,-87.6680626795
609928,FULLER,41.8180037326,-87.6117473608
609929,FULTON,41.7975811705,-87.6683992286
609930,FUNSTON,41.9176169982,-87.7168549295
609933,GALE,42.021117948,-87.6719367277
609935,GALLISTEL,41.706801077,-87.5352119263
609937,GARVY,41.9763519838,-87.7962718864
609938,GARY,41.8370377183,-87.7186957205
609939,GILLESPIE,41.7253316279,-87.6237560587
609941,RANDOLPH,41.7606146367,-87.675928869
609942,GOETHE,41.9228315042,-87.692862957
609943,GOMPERS,41.6706183119,-87.6225090759
609944,GRISSOM,41.6624809625,-87.5532701146
609945,GOUDY,41.9758170047,-87.6578757238
609947,GRAHAM,41.8133044605,-87.6433075667
609949,"GRAY, W",41.9487642823,-87.7570788512
609950,ORTIZ DE DOMINGUEZ,41.8387910076,-87.7171536303
609951,ARIEL,41.8113891194,-87.5985199021
609952,GREENE,41.8296687017,-87.671529053
609954,GREGORY,41.8707696033,-87.7186664548
