school_id,school_nm,grades,sch_type,x,y,year
400164,LOZANO LEADERSHIP ACADEMY - MASTERY CAMPUS,12,Alternative/Charter,-87.6855472198,41.8459653309,2013
400165,LEARN CHTR - MIDDLE,"6, 7",Charter,-87.7021658512,41.8875163602,2013
609674,CHICAGO VOCATIONAL HS,"9, 10, 11, 12","District, non-alternative",-87.5732667993,41.7371464976,2013
609676,DUNBAR HS,"9, 10, 11, 12","District, non-alternative",-87.6176007458,41.8402261093,2013
609678,JONES HS,"9, 10, 11, 12","District, non-alternative",-87.6276386213,41.8730667004,2013
609679,PROSSER HS,"9, 10, 11, 12","District, non-alternative",-87.7610115827,41.9200600623,2013
609680,PAYTON HS,"9, 10, 11, 12","District, non-alternative",-87.6344637265,41.9015461528,2013
609682,RICHARDS HS,"9, 10, 11, 12","District, non-alternative",-87.6623145142,41.8028808665,2013
609691,NORTH-GRAND HS,"9, 10, 11, 12","District, non-alternative",-87.7352368523,41.9116462561,2013
609692,SIMEON HS,"9, 10, 11, 12","District, non-alternative",-87.6354462757,41.7457867058,2013
609693,WESTINGHOUSE HS,"9, 10, 11, 12","District, non-alternative",-87.7073328691,41.890004642,2013
609694,HANCOCK HS,"9, 10, 11, 12","District, non-alternative",-87.7244699624,41.7914364693,2013
609695,AMUNDSEN HS,"9, 10, 11, 12","District, non-alternative",-87.6794474519,41.9750679335,2013
609698,BOGAN HS,"9, 10, 11, 12","District, non-alternative",-87.7210981614,41.7494030471,2013
609702,CRANE HS,"11, 12","District, non-alternative",-87.6832489544,41.8775287345,2013
609704,FARRAGUT HS,"PE, PK, 9, 10, 11, 12","District, non-alternative",-87.708742323,41.8485592157,2013
609705,FENGER HS,"9, 10, 11, 12","District, non-alternative",-87.6375354473,41.689951308,2013
609707,ROBESON HS,"9, 10, 11, 12","District, non-alternative",-87.6371893707,41.7697134171,2013
609708,FOREMAN HS,"9, 10, 11, 12","District, non-alternative",-87.7542032882,41.939796136,2013
609709,GAGE PARK HS,"9, 10, 11, 12","District, non-alternative",-87.6889172817,41.7910134084,2013
609710,HARLAN HS,"7, 8, 9, 10, 11, 12","District, non-alternative",-87.6205868148,41.7183727976,2013
609711,HARPER HS,"9, 10, 11, 12","District, non-alternative",-87.6690526439,41.775124657,2013
609712,HIRSCH HS,"9, 10, 11, 12","District, non-alternative",-87.6016906383,41.7537488728,2013
609713,HYDE PARK HS,"9, 10, 11, 12","District, non-alternative",-87.5865783526,41.782257426,2013
609715,KELLY HS,"9, 10, 11, 12","District, non-alternative",-87.6946019837,41.8187296523,2013
609716,KELVYN PARK HS,"9, 10, 11, 12","District, non-alternative",-87.7359995214,41.9279458399,2013
609718,KENNEDY HS,"9, 10, 11, 12","District, non-alternative",-87.7803947175,41.7904824291,2013
609719,LAKE VIEW HS,"9, 10, 11, 12","District, non-alternative",-87.6689894456,41.9547635347,2013
609720,LANE HS,"7, 8, 9, 10, 11, 12","District, non-alternative",-87.6910127407,41.9466720152,2013
609722,MANLEY HS,"9, 10, 11, 12","District, non-alternative",-87.699896207,41.8709663946,2013
609723,MARSHALL HS,"9, 10, 11, 12","District, non-alternative",-87.7080494804,41.8784166477,2013
609724,MATHER HS,"9, 10, 11, 12","District, non-alternative",-87.7025193438,41.987567237,2013
609725,MORGAN PARK HS,"7, 8, 9, 10, 11, 12","District, non-alternative",-87.665675573,41.692011124,2013
609726,BROOKS HS,"9, 10, 11, 12","District, non-alternative",-87.6163519047,41.6927350915,2013
609727,PHILLIPS HS,"8, 9, 10, 11, 12","District, non-alternative",-87.6197957427,41.823852531,2013
609728,ROOSEVELT HS,"9, 10, 11, 12","District, non-alternative",-87.7148181422,41.9648004456,2013
609729,SCHURZ HS,"9, 10, 11, 12","District, non-alternative",-87.7356352653,41.9463432311,2013
609730,SENN HS,"9, 10, 11, 12","District, non-alternative",-87.6651879969,41.989033193,2013
609732,STEINMETZ COLLEGE PREP HS,"9, 10, 11, 12","District, non-alternative",-87.7834784904,41.9356342063,2013
609733,SULLIVAN HS,"9, 10, 11, 12","District, non-alternative",-87.6692289258,42.0026869262,2013
609734,TAFT HS,"7, 8, 9, 10, 11, 12","District, non-alternative",-87.7915467726,41.9829335474,2013
609735,TILDEN HS,"9, 10, 11, 12","District, non-alternative",-87.6430031534,41.807509471,2013
609736,DYETT HS,"11, 12","District, non-alternative",-87.6119314689,41.8021046712,2013
609737,VON STEUBEN HS,"9, 10, 11, 12","District, non-alternative",-87.7134230173,41.973184448,2013
609738,LINCOLN PARK HS,"9, 10, 11, 12","District, non-alternative",-87.6460460884,41.9182675644,2013
609739,WASHINGTON HS,"9, 10, 11, 12","District, non-alternative",-87.5375700902,41.6881643782,2013
609740,WELLS HS,"9, 10, 11, 12","District, non-alternative",-87.6674461465,41.8989952773,2013
609741,HUBBARD HS,"9, 10, 11, 12","District, non-alternative",-87.7179770873,41.7805269305,2013
609744,NORTHSIDE LEARNING HS,"9, 10, 11, 12","District, Special Ed.",-87.7223855843,41.982945085,2013
609745,SOUTHSIDE HS,"11, 12","District, Special Ed.",-87.675910122,41.759852931,2013
609746,KENWOOD HS,"7, 8, 9, 10, 11, 12","District, non-alternative",-87.5904575637,41.8037718315,2013
609748,YORK HS,"9, 10, 11, 12",Alternative/District,-87.6952243236,41.8425338463,2013
609749,NORTHSIDE PREP HS,"9, 10, 11, 12","District, non-alternative",-87.7087445726,41.9813147789,2013
609750,SIMPSON HS,"7, 8, 9, 10, 11, 12",Alternative/District,-87.6687589322,41.8643649239,2013
609751,KING HS,"9, 10, 11, 12","District, non-alternative",-87.6039105378,41.8136749838,2013
609753,CHGO AGR HS,"9, 10, 11, 12","District, non-alternative",-87.71777061,41.6912481759,2013
609754,CHGO MILITARY ACAD HS,"9, 10, 11, 12","District, non-alternative",-87.619252226,41.8305544189,2013
609755,YOUNG HS,"7, 8, 9, 10, 11, 12","District, non-alternative",-87.6642700572,41.8786020833,2013
609756,CURIE HS,"9, 10, 11, 12","District, non-alternative",-87.7220649185,41.8030814221,2013
609759,CLEMENTE HS,"9, 10, 11, 12","District, non-alternative",-87.6869428732,41.9026253078,2013
609760,CARVER MILITARY,"9, 10, 11, 12","District, non-alternative",-87.5905838013,41.6562905596,2013
609761,CORLISS HS,"9, 10, 11, 12","District, non-alternative",-87.6030643541,41.7074460753,2013
609762,JULIAN HS,"9, 10, 11, 12","District, non-alternative",-87.6537125967,41.7058594385,2013
609764,JUAREZ HS,"9, 10, 11, 12","District, non-alternative",-87.6636957478,41.8526670965,2013
609766,VAUGHN HS,"9, 10, 11, 12","District, Special Ed.",-87.7646999302,41.9603631731,2013
609768,HOPE HS,"9, 10, 11, 12","District, non-alternative",-87.641418583,41.7935651922,2013
609769,"GRAHAM,R HS","9, 10, 11, 12","District, Special Ed.",-87.62535151,41.8496748572,2013
609772,ADDAMS,"PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.5329394264,41.6987389278,2013
609773,AGASSIZ,"PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.6562654054,41.9341255571,2013
609774,ALCOTT ES,"PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.6464131369,41.9298498532,2013
609777,ARMOUR,"PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.6506520971,41.8338264797,2013
609779,"ARMSTRONG, G","PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.6844396323,42.0101225916,2013
609780,AMES,"7, 8","District, non-alternative",-87.7217055909,41.9160453776,2013
609781,ATTUCKS,"1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.6258200555,41.8021121565,2013
609782,AUDUBON,"PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.6810043045,41.945062818,2013
609783,JEFFERSON ALT HS,"6, 7, 8, 9, 10, 11, 12",Alternative/District,-87.6803808585,41.8678330978,2013
609786,AVALON PARK,"PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.5916904502,41.7482465103,2013
609788,BARNARD,"PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.6580392631,41.7051391776,2013
609789,BARRY,"PE, PK, K, 1, 2, 3, 4, 5, 6","District, non-alternative",-87.7393516117,41.9325112437,2013
609790,BARTON,"PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.6708904892,41.7541944449,2013
609791,BASS,"PE, PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.6535318042,41.7742190125,2013
